Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Is_Returned,Age_Group,Return_Probability
ORD00000000,PROD00000000,USER00000000,2023-08-05,2024-08-26,Clothing,411.59,3,Changed mind,Returned,387,58,Male,City54,Debit Card,Next-Day,45.27,1,50+,1.0
ORD00000001,PROD00000001,USER00000001,2023-10-09,2023-11-09,Books,288.88,3,Wrong item,Returned,31,68,Female,City85,Credit Card,Express,47.79,1,50+,1.0
ORD00000005,PROD00000005,USER00000005,2024-02-14,2024-09-22,Electronics,252.12,1,Defective,Returned,221,46,Female,City47,Debit Card,Next-Day,47.61,1,35-50,1.0
ORD00000006,PROD00000006,USER00000006,2023-05-29,2023-08-03,Clothing,382.89,2,Wrong item,Returned,66,25,Male,City50,Credit Card,Express,28.49,1,<25,1.0
ORD00000007,PROD00000007,USER00000007,2023-02-09,2024-08-01,Electronics,306.39,3,Not as described,Returned,539,67,Female,City39,Credit Card,Express,38.91,1,50+,1.0
ORD00000008,PROD00000008,USER00000008,2024-12-25,2025-03-26,Home,302.4,5,Defective,Returned,91,54,Male,City81,Debit Card,Standard,18.5,1,50+,1.0
ORD00000009,PROD00000009,USER00000009,2023-03-10,2024-01-21,Clothing,294.94,3,Not as described,Returned,317,44,Male,City82,Credit Card,Standard,45.21,1,35-50,1.0
ORD00000015,PROD00000015,USER00000015,2024-10-02,2025-08-01,Electronics,370.08,2,Wrong item,Returned,303,24,Female,City27,Credit Card,Standard,23.99,1,<25,1.0
ORD00000017,PROD00000017,USER00000017,2023-02-03,2023-06-03,Electronics,400.12,1,Defective,Returned,120,33,Male,City33,PayPal,Standard,18.25,1,25-35,1.0
ORD00000018,PROD00000018,USER00000018,2024-10-07,2026-04-29,Books,358.31,1,Changed mind,Returned,569,51,Female,City43,PayPal,Standard,11.84,1,50+,1.0
ORD00000019,PROD00000019,USER00000019,2024-07-06,2024-09-10,Electronics,227.94,5,Changed mind,Returned,66,50,Female,City64,Debit Card,Express,43.86,1,35-50,1.0
ORD00000021,PROD00000021,USER00000021,2024-02-28,2025-04-21,Books,85.69,2,Changed mind,Returned,418,30,Female,City26,Debit Card,Standard,24.58,1,25-35,1.0
ORD00000022,PROD00000022,USER00000022,2024-07-13,2025-05-13,Books,227.2,5,Wrong item,Returned,304,65,Female,City90,Gift Card,Next-Day,27.94,1,50+,1.0
